icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,snapshot_time,speed_ms,speed_kmh,speed_anomaly,altitude_diff,altitude_anomaly,is_climbing,is_descending,vertical_rate_abs,vertical_anomaly,lat_bin,lon_bin
346644,VOE7CB,Spain,2026-04-29 13:24:01+00:00,1777469041,9.8056,42.6309,3048.0,False,147.87,76.93,5.53,,3185.16,,False,0,2026-04-29 13:24:01+00:00,147.87,532.332,0,-137.15999999999985,0,1,0,5.53,0,13,18
345313,VLG368N,Spain,2026-04-29 13:24:01+00:00,1777469041,-1.5314,49.8886,10111.74,False,230.42,17.14,-10.4,,10279.38,7456.0,False,0,2026-04-29 13:24:01+00:00,230.42,829.512,0,-167.63999999999942,0,0,1,10.4,0,14,17
4bb0e5,THY900,Turkey,2026-04-29 13:24:01+00:00,1777469041,26.636,41.0355,6979.92,False,220.42,87.32,-8.78,,7139.94,1176.0,False,0,2026-04-29 13:24:01+00:00,220.42,793.512,0,-160.01999999999953,0,0,1,8.78,0,13,20
406753,EZY52JX,United Kingdom,2026-04-29 13:24:01+00:00,1777469041,-1.7664,52.6757,7345.68,False,186.65,151.88,8.13,,7559.04,550.0,False,0,2026-04-29 13:24:01+00:00,186.65,671.94,0,-213.35999999999967,0,1,0,8.13,0,15,17
44ce66,BEL1VC,Belgium,2026-04-29 13:24:01+00:00,1777469041,19.0464,40.2709,11582.4,False,217.73,321.23,0.0,,11772.9,2046.0,False,0,2026-04-29 13:24:01+00:00,217.73,783.828,0,-190.5,0,0,0,0.0,0,13,19
4bb0e2,TH 16,Turkey,2026-04-29 13:20:48+00:00,1777469024,-16.2978,16.2582,11292.84,False,271.63,35.29,1.95,,12001.5,,False,0,2026-04-29 13:24:01+00:00,271.63,977.868,0,-708.6599999999999,0,1,0,1.95,0,9,16
896316,UAE3YM,United Arab Emirates,2026-04-29 13:23:11+00:00,1777469039,35.9995,31.7172,10972.8,False,0.0,0.0,0.0,,10012.68,550.0,False,0,2026-04-29 13:24:01+00:00,0.0,0.0,1,960.119999999999,0,0,0,0.0,0,11,21
896314,UAE180,United Arab Emirates,2026-04-29 13:24:01+00:00,1777469041,20.9367,52.1741,190.5,False,87.02,294.44,11.38,,335.28,,False,0,2026-04-29 13:24:01+00:00,87.02,313.272,0,-144.77999999999997,0,1,0,11.38,0,15,20
ae52ca,G08817,United States,2026-04-29 13:24:00+00:00,1777469040,-90.7079,43.4526,739.14,False,65.92,357.32,-165.81,,716.28,,False,0,2026-04-29 13:24:01+00:00,65.92,237.312,0,22.860000000000014,0,0,1,165.81,1,13,8
a2270f,RPA5742,United States,2026-04-29 13:24:01+00:00,1777469041,-73.8166,40.7403,701.04,False,99.78,78.4,3.25,,685.8,,False,0,2026-04-29 13:24:01+00:00,99.78,359.208,0,15.240000000000009,0,1,0,3.25,0,13,10
a87e20,N64617,United States,2026-04-29 13:23:59+00:00,1777469041,-80.6995,28.0706,632.46,False,40.04,207.55,3.9,,662.94,,False,0,2026-04-29 13:24:01+00:00,40.04,144.144,0,-30.480000000000018,0,1,0,3.9,0,11,9
40673d,GOBSR,United Kingdom,2026-04-29 13:23:57+00:00,1777469037,-2.871,53.3327,-76.2,False,36.62,85.97,-1.95,,91.44,277.0,False,0,2026-04-29 13:24:01+00:00,36.62,131.832,0,-167.64,1,0,1,1.95,0,15,17
89630d,UAE6AQ,United Arab Emirates,2026-04-29 13:17:21+00:00,1777469039,32.0055,32.8528,11277.6,False,259.43,163.29,0.0,,11551.92,1670.0,False,0,2026-04-29 13:24:01+00:00,259.43,933.9480000000001,0,-274.3199999999997,0,0,0,0.0,0,12,21
44ce72,BEL6HF,Belgium,2026-04-29 13:24:01+00:00,1777469041,4.4388,50.8941,53.34,False,58.93,65.22,-3.25,,182.88,1000.0,False,0,2026-04-29 13:24:01+00:00,58.93,212.148,0,-129.54,0,0,1,3.25,0,14,18
884346,BKP193,Thailand,2026-04-29 13:24:01+00:00,1777469041,100.8789,13.257,2644.14,False,95.09,193.13,3.58,,2781.3,,False,0,2026-04-29 13:24:01+00:00,95.09,342.324,0,-137.1600000000003,0,1,0,3.58,0,8,28
abf396,SWA2015,United States,2026-04-29 13:24:01+00:00,1777469041,-88.6095,39.9832,11506.2,False,214.55,195.44,2.6,,11551.92,1110.0,False,0,2026-04-29 13:24:01+00:00,214.55,772.3800000000001,0,-45.719999999999345,0,1,0,2.6,0,13,8
0200ef,RAM749G,Morocco,2026-04-29 13:24:01+00:00,1777469041,-5.2896,35.7488,11277.6,False,206.14,215.55,0.0,,11544.3,7626.0,False,0,2026-04-29 13:24:01+00:00,206.14,742.1039999999999,0,-266.6999999999989,0,0,0,0.0,0,12,17
a38dd8,UPS2907,United States,2026-04-29 13:24:01+00:00,1777469041,-97.3922,37.7804,11285.22,False,308.13,77.17,0.0,,11468.1,1005.0,False,0,2026-04-29 13:24:01+00:00,308.13,1109.268,0,-182.88000000000102,0,0,0,0.0,0,12,7
0200ed,RAM822,Morocco,2026-04-29 13:24:01+00:00,1777469041,-2.1587,41.2277,10972.8,False,244.08,38.75,0.0,,11132.82,6441.0,False,0,2026-04-29 13:24:01+00:00,244.08,878.6880000000001,0,-160.02000000000044,0,0,0,0.0,0,13,17
ac006d,SWA1077,United States,2026-04-29 13:24:00+00:00,1777469041,-81.291,29.3628,8016.24,False,213.14,349.99,7.48,,8366.76,6622.0,False,0,2026-04-29 13:24:01+00:00,213.14,767.304,0,-350.52000000000044,0,1,0,7.48,0,11,9
0200eb,RAM937R,Morocco,2026-04-29 13:24:00+00:00,1777469040,1.0813,40.5936,10668.0,False,226.33,229.79,0.0,,10881.36,3055.0,False,0,2026-04-29 13:24:01+00:00,226.33,814.788,0,-213.36000000000058,0,0,0,0.0,0,13,17
0200ea,RAM643J,Morocco,2026-04-29 13:24:00+00:00,1777469040,-1.9394,42.2861,11887.2,False,218.99,200.78,0.0,,12054.84,7647.0,False,0,2026-04-29 13:24:01+00:00,218.99,788.364,0,-167.63999999999942,0,0,0,0.0,0,13,17
0200f8,RAM571A,Morocco,2026-04-29 13:24:00+00:00,1777469040,-6.552,34.0616,8328.66,False,205.21,214.69,-10.08,,8618.22,4047.0,False,0,2026-04-29 13:24:01+00:00,205.21,738.7560000000001,0,-289.5599999999995,0,0,1,10.08,0,12,17
34660b,IBE07RZ,Spain,2026-04-29 13:24:01+00:00,1777469041,-1.0677,50.7257,5372.1,False,199.61,33.65,-9.43,,5539.74,1457.0,False,0,2026-04-29 13:24:01+00:00,199.61,718.5960000000001,0,-167.63999999999942,0,0,1,9.43,0,14,17
ae4043,R43541,United States,2026-04-29 13:24:01+00:00,1777469041,-75.724,44.0511,335.28,False,43.95,200.56,3.9,,281.94,,False,0,2026-04-29 13:24:01+00:00,43.95,158.22000000000003,0,53.339999999999975,0,1,0,3.9,0,13,10
